sex;age;sgi1;shs1;shs2;shs3;shs4;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;f1;f2;f3;f4;f5;f6;f7;f8;swls1;swls2;swls3;swls4;swls5;pwi1;pwi2;pwi3;pwi4;pwi5;pwi6;pwi7;pwi8;sgi2;adm_method
F;33;0;1;3;4;2;5;5;1;5;5;1;3;1;2;4;1;5;1;3;3;5;5;1;5;3;4;4;4;2;4;1;1;5;3;2;3;2;7;7;7;4;6;4;1;6;1;3;3;3;1;2;8;0;10;4;2;0;2;2;o
M;27;6;4;3;3;4;3;3;2;3;2;2;3;1;2;2;4;2;1;2;3;2;3;2;2;2;2;3;3;3;3;3;3;3;2;3;2;2;3;4;3;4;4;4;2;6;3;1;4;3;1;7;7;6;7;6;5;4;5;6;o
F;25;8;7;7;5;2;5;1;4;3;5;1;3;2;4;5;3;4;1;1;5;5;5;4;5;3;5;1;4;1;5;1;5;1;1;5;2;5;5;6;7;7;7;7;6;6;7;4;6;7;7;7;7;9;10;7;6;6;7;9;o
F;27;2;3;3;1;7;5;5;1;2;2;2;3;1;1;2;4;3;3;3;5;5;5;5;3;3;2;5;3;3;2;4;2;4;4;2;5;2;1;1;2;1;2;4;1;3;1;1;1;3;1;2;8;5;0;6;0;0;9;1;o
F;23;8;6;5;3;6;3;3;3;1;2;1;2;1;2;2;4;3;3;3;3;2;3;3;2;3;4;3;4;3;4;1;3;2;2;3;2;3;3;3;5;6;5;7;5;6;6;7;6;6;4;10;10;8;9;10;8;5;0;5;o
F;24;5;5;5;5;2;4;5;3;4;4;3;4;1;4;4;4;4;1;3;1;3;3;4;5;3;3;2;3;1;3;3;3;3;4;4;1;2;6;6;6;6;4;6;1;5;1;1;2;2;2;5;9;5;8;7;5;0;2;6;o
F;19;7;6;5;4;2;5;2;2;4;1;1;1;1;4;4;4;2;1;1;3;4;4;2;4;1;2;4;4;2;3;3;2;2;4;3;2;2;4;5;5;5;5;5;5;5;4;5;5;5;3;6;8;6;8;8;5;2;0;7;o
F;24;7;6;5;5;2;5;2;4;4;4;2;3;1;5;3;2;4;1;4;3;4;4;2;4;2;4;2;4;1;4;1;4;3;3;4;3;4;5;5;6;6;6;6;5;6;5;3;4;3;2;6;8;7;8;6;6;5;5;7;o
M;19;4;5;4;2;6;3;2;3;2;3;2;2;2;2;2;1;2;2;2;2;3;2;1;2;1;2;3;4;4;2;3;2;5;3;2;5;1;4;3;2;3;5;4;4;5;2;2;1;1;4;5;6;2;1;4;5;5;8;3;o
F;25;6;6;6;5;2;5;1;4;3;4;1;3;2;4;4;2;3;2;3;1;3;4;2;4;2;4;2;5;1;5;1;4;2;1;5;2;4;5;6;7;6;7;7;7;6;6;6;6;6;7;10;10;6;9;9;10;9;5;10;o
M;28;1;4;4;4;4;4;5;2;5;4;4;4;2;3;5;3;4;1;4;5;3;3;5;1;5;3;3;2;2;3;4;3;2;1;3;4;3;3;6;4;6;7;7;4;6;3;5;5;2;4;7;7;6;8;8;9;0;2;6;o
M;23;5;4;4;3;4;3;2;3;2;3;1;1;2;3;3;3;3;1;2;3;4;5;2;3;2;3;3;5;2;3;2;3;3;1;3;3;3;5;4;5;6;7;6;5;5;4;3;4;4;5;5;6;5;5;6;5;4;4;5;o
F;23;8;7;7;7;2;5;2;4;3;1;4;1;1;5;5;4;2;4;5;4;4;2;4;5;2;5;3;5;2;5;2;5;3;1;5;2;4;6;6;6;5;4;7;7;6;5;6;6;7;7;10;10;7;10;3;3;6;10;9;o
M;36;7;6;5;5;2;3;2;2;2;4;2;3;1;2;2;4;2;4;2;4;3;2;4;2;4;2;3;3;3;3;3;3;3;3;3;3;3;4;2;4;4;2;4;3;3;4;4;4;3;2;6;6;5;7;6;5;5;9;6;o
F;23;6;5;5;1;2;5;3;3;3;3;3;4;2;4;4;3;4;3;4;3;4;4;4;4;3;4;2;3;3;2;4;2;4;2;4;3;3;6;6;6;6;6;6;4;6;5;4;4;4;4;6;7;6;6;6;6;6;7;6;o
M;25;7;5;4;5;3;5;3;3;2;4;2;3;4;4;4;3;5;3;2;2;5;4;3;3;2;4;2;4;1;4;2;4;2;3;4;1;4;6;5;7;5;6;6;4;6;5;5;4;4;3;7;5;8;7;6;5;5;6;6;o
M;23;4;3;4;3;6;2;4;1;4;3;1;4;3;2;4;4;2;2;3;3;3;3;4;2;4;2;5;2;4;2;4;2;4;4;2;3;1;3;1;1;2;4;3;1;5;2;5;1;1;1;6;4;4;1;4;4;3;6;4;o
F;20;8;6;5;5;1;4;1;4;1;3;1;2;2;4;1;2;2;5;4;3;3;3;2;4;2;4;2;5;1;4;1;4;2;3;4;3;3;6;6;6;6;6;7;5;6;6;6;6;7;7;6;7;9;10;9;10;6;6;9;o
F;24;7;7;4;4;4;2;1;4;1;3;1;3;1;4;3;2;3;3;3;3;5;3;3;3;3;5;1;5;1;4;1;5;3;2;5;2;3;5;4;7;6;6;6;7;4;4;5;5;5;2;7;7;7;10;10;4;4;4;7;o
F;20;8;6;5;5;1;4;1;4;1;3;1;2;2;4;1;2;2;5;4;3;3;3;2;4;2;4;2;5;1;4;1;4;2;3;4;3;3;6;6;6;6;6;7;5;6;6;6;6;7;7;6;7;9;10;9;10;6;6;9;o
F;22;8;5;5;5;1;4;1;4;1;4;1;2;1;4;5;2;4;1;3;2;5;4;1;4;1;4;1;4;1;4;1;4;1;1;4;1;4;5;5;4;5;6;6;6;5;4;4;5;5;6;8;10;8;8;8;9;8;6;8;o
F;23;6;6;5;4;2;4;2;4;2;5;2;2;1;4;4;2;4;1;2;2;5;4;1;4;2;3;4;3;2;3;2;3;3;1;3;3;2;4;6;5;4;6;4;5;7;1;1;3;2;1;3;10;8;8;2;6;3;0;5;o
F;22;8;6;6;4;1;3;2;4;1;3;3;2;1;4;3;2;3;2;2;2;3;4;2;3;1;4;2;4;1;4;1;5;2;2;5;2;4;4;6;5;6;4;6;5;6;6;5;6;5;7;7;9;8;9;8;8;4;8;8;o
